NAME,ADDRESS,CITY,STATE,ZIP,TYPE,COUNTY,EVAC_CAP,POST_CAP,SFHA,In_SFHA,lat,lng,Watershed,logo_url
CHINESE COMMUNITY CENTER,9800 TOWN PARK,HOUSTON,TX,77036,EVAC,HARRIS,500,200,0,No,29.71270287,-95.55433029,Buffalo-San Jacinto,img/shelters.png
RICHEY STREET BAPTIST CHURCH,906 NATCHEZ,PASADENA,TX,77506,BOTH,HARRIS,200,100,0,No,29.69618515,-95.22022717,Buffalo-San Jacinto,img/shelters.png
CHANNELVIEW CRENSHAW PRIMARY SCHOOL,16204 WOOD DR,CHANNELVIEW,TX,77530,BOTH,HARRIS,288,144,0,No,29.80580718,-95.11460687,Buffalo-San Jacinto,img/shelters.png
CROSBY HIGH SCHOOL,14703 FM 2100,CROSBY,TX,77532,POST,HARRIS,0,105,0,No,29.89960915,-95.06565112,Buffalo-San Jacinto,img/shelters.png
ST. ANDREWS CATHOLIC CHURCH,827 SHELDON RD,CHANNELVIEW,TX,77530,BOTH,HARRIS,850,425,0,No,29.79111143,-95.12528725,Buffalo-San Jacinto,img/shelters.png
MEMORIAL DRIVE PRESBYTERIAN CHURCH,11612 MEMORIAL DRIVE,HOUSTON,TX,77024,BOTH,HARRIS,479,239,0,No,29.75336614,-95.52509319,Buffalo-San Jacinto,img/shelters.png
NEW DELIVERANCE CHURCH,14538 MINETTA,HOUSTON,TX,77035,POST,HARRIS,0,67,0,No,29.63605474,-95.50493145,Buffalo-San Jacinto,img/shelters.png
CHICANO FAMILY CENTER,7524 AVENUE E,HOUSTON,TX,77012,POST,HARRIS,0,30,0,No,29.73452306,-95.29070419,Buffalo-San Jacinto,img/shelters.png
CHANNELVIEW ALLEN HALL FAIR GROUNDS,16204 WOOD DRIVE,CHANNELVIEW,TX,77530,BOTH,HARRIS,204,102,0,No,29.80659,-95.1127,Buffalo-San Jacinto,img/shelters.png
CHANNELVIEW HIGH SCHOOL,1100 SHELDON ROAD,CHANNELVIEW,TX,77530,BOTH,HARRIS,2850,1425,0,No,29.79526005,-95.12210551,Buffalo-San Jacinto,img/shelters.png
SACRED HEART CATHOLIC CHURCH,915 RUNNEBURG RD,CROSBY,TX,77532,EVAC,HARRIS,217,108,0,No,29.91258024,-95.05872972,Buffalo-San Jacinto,img/shelters.png
FIRST ASSEMBLY OF GOD,330 SHELDON RD,CHANNELVIEW,TX,77530,POST,HARRIS,0,64,0,No,29.77670916,-95.12391509,Buffalo-San Jacinto,img/shelters.png
BEAR CREEK BAPTIST CHURCH,5901 N FRY RD,KATY,TX,77449,BOTH,HARRIS,75,37,0,No,29.85743869,-95.72060876,Buffalo-San Jacinto,img/shelters.png
SON RISE COMMUNITY CHURCH,5609 E MOUNT HOUSTON RD,HOUSTON,TX,77093,BOTH,HARRIS,381,190,0,No,29.89152483,-95.308386,Buffalo-San Jacinto,img/shelters.png
CORNERSTONE PRESBYTERIAN CHURCH,1351 S MASON RD,KATY,TX,77450,POST,HARRIS,150,75,0,No,29.76227574,-95.75064973,Buffalo-San Jacinto,img/shelters.png
FELLOWSHIP AT CINCO RANCH,22765 WESTHEIMER,KATY,TX,77450,BOTH,FORT BEND,30,15,0,No,29.73392437,-95.76327934,Buffalo-San Jacinto,img/shelters.png
GOLDEN AGE HOBBY HOUSE OF HOUSTON,2805 WINBERN STREET,HOUSTON,TX,77004,POST,HARRIS,0,61,0,No,29.72929924,-95.36382992,Buffalo-San Jacinto,img/shelters.png
NORTH SHORE COMMUNITY FELLOWSHIP OF FAITH,444 MAXEY RD,HOUSTON,TX,77013,BOTH,HARRIS,450,225,0,No,29.78843856,-95.2200648,Buffalo-San Jacinto,img/shelters.png
